시도,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,위험점수,체불_전체,체불_2025이후
대구,건설업,2476,20254,6487802380,1928,917,0.4551696284329564,320322.02922879433,0.07023304038708403,8.180129240710825,1.0629529674598706,4,1
경북,건설업,5991,47061,16159294440,4419,2319,0.47103989317309297,343369.1260279212,0.07158793905781857,7.85528292438658,1.007983687414785,15,4
경북,숙박음식점업,378,4565,1199382800,310,288,0.3333333333333333,262734.4578313253,0.06549835706462212,12.076719576719576,0.9913325729521576,3,2
인천,숙박음식점업,683,7344,1920337740,618,532,0.2591508052708638,261483.89705882352,0.07829520697167756,10.752562225475842,0.9882566991823856,5,0
부산,숙박음식점업,1027,13832,3573136460,1207,943,0.2385589094449854,258323.91989589357,0.07771833429728167,13.468354430379748,0.9426171555163617,5,3
세종,부동산업,179,4730,1197191420,306,112,0.4022346368715084,253106.00845665962,0.044186046511627906,26.424581005586592,0.921461008692038,0,0
서울,숙박음식점업,5799,110636,30358119580,8401,7603,0.29246421796861527,274396.3952059004,0.07232727141256011,19.078461803759268,0.9064229721956439,17,5
인천,운수창고업,1054,31099,9452860040,2327,2177,0.3538899430740038,303960.25724299817,0.07241390398405094,29.50569259962049,0.9029517300596036,0,0
전남,숙박음식점업,358,3812,972165820,238,222,0.3100558659217877,255027.75970619096,0.06033578174186779,10.64804469273743,0.8980833228280697,0,0
광주,건설업,2178,19569,7129804700,1859,949,0.46005509641873277,364341.80080739944,0.07174612908171087,8.984848484848484,0.8768390315822542,12,4
대전,숙박음식점업,335,3750,939062920,271,229,0.2537313432835821,250416.77866666668,0.06666666666666667,11.194029850746269,0.8689758616954436,1,0
경기,운수창고업,3290,82066,25577504060,5527,5516,0.3680851063829787,311669.9249384642,0.06728121268247508,24.944072948328266,0.8204055497479809,2,1
경남,숙박음식점업,491,5422,1431849440,348,316,0.2973523421588595,264081.4164514939,0.061232017705643675,11.04276985743381,0.8157553340337721,3,0
제주,숙박음식점업,423,5912,1631325720,404,361,0.30260047281323876,275934.6617050068,0.06469891745602165,13.976359338061465,0.8077782162158056,4,0
경기,숙박음식점업,3606,42290,11814527560,3005,2798,0.2878535773710483,279369.29676046345,0.06860960037834003,11.72767609539656,0.8051264910227829,11,4
전남,건설업,5557,55255,20316318640,4959,2788,0.4410653230160158,367682.9000090489,0.07010225318975659,9.943314738168077,0.7823885351070476,6,3
경기,농림어업,473,4614,1374660220,279,171,0.4249471458773784,297932.4273948851,0.04876462938881664,9.75475687103594,0.77317525209233,0,0
충남,농림어업,375,3653,992302800,111,107,0.45066666666666666,271640.51464549685,0.029838488913222008,9.741333333333333,0.7141609450730916,0,0
충남,운수창고업,593,11376,3545060240,649,692,0.3625632377740304,311626.2517580872,0.05893987341772152,19.18381112984823,0.6767431971394463,0,0
대전,건설업,2256,27155,10277446100,2606,1097,0.42863475177304966,378473.4339900571,0.06818265512796906,12.036790780141844,0.6678104967705565,3,0
경기,교육서비스업,1322,12672,3173397780,428,405,0.3577912254160363,250425.96117424243,0.032867739898989896,9.585476550680786,0.6408746137028073,2,0
경남,부동산업,1069,20856,5927590840,1163,679,0.3517305893358279,284215.1342539317,0.04415995397008055,19.509822263797943,0.5783587847035393,0,0
제주,부동산업,239,3589,1056684800,95,91,0.47280334728033474,294423.18194483145,0.025912510448592923,15.01673640167364,0.576337331836149,1,0
광주,도소매업,2583,21385,6434746860,857,865,0.40185830429732866,300900.0168342296,0.04026186579378069,8.279132791327914,0.5602779814476103,1,0
강원,도소매업,1834,18213,5494276160,691,687,0.4133042529989095,301667.8284741668,0.03783012134189864,9.930752453653216,0.5505735793331644,0,0
경기,부동산업,4830,76872,23065358480,2783,2346,0.43043478260869567,300048.89270475594,0.033360651472577794,15.915527950310558,0.5392066349648549,2,0
제주,전문과학기술,538,7054,1997107980,255,308,0.35687732342007433,283117.09384746244,0.039906436064644175,13.111524163568774,0.534045324419107,0,0
인천,도소매업,4690,55134,17047753860,2304,2284,0.4017057569296375,309205.8232669496,0.04160771937461458,11.755650319829424,0.5333837881349169,2,2
대전,협회수리개인,348,4091,1086851380,171,167,0.3074712643678161,265668.87802493275,0.04131019310681985,11.755747126436782,0.5271303393783119,0,0
전북,부동산업,855,16537,4580928560,516,444,0.39883040935672515,277010.85807583,0.029025820886496946,19.341520467836258,0.5221576561794891,0,0
전남,도소매업,2682,23197,7116140340,745,921,0.4228187919463087,306769.8555847739,0.03590981592447299,8.649142431021625,0.5186725306761084,0,0
충남,협회수리개인,433,5513,1695647400,209,449,0.29330254041570436,307572.53763830947,0.05967712679122075,12.732101616628176,0.5162769477220033,0,0
강원,숙박음식점업,415,6989,1955530960,457,393,0.22409638554216868,279801.2533981972,0.06080984404063528,16.840963855421688,0.5033397160499491,0,0
충남,부동산업,826,18609,5253508960,586,426,0.4067796610169492,282310.11661024234,0.02719114407007362,22.52905569007264,0.48340461156297815,0,0
광주,전문과학기술,1249,18786,5375950100,777,642,0.35628502802241796,286167.8963057596,0.03776748642606196,15.040832666132907,0.4808848204712602,1,1
세종,도소매업,304,3200,1050372360,120,93,0.46381578947368424,328241.3625,0.03328125,10.526315789473685,0.47611588995706616,0,0
서울,교육서비스업,1744,25908,7168798740,960,858,0.34461009174311924,276702.128300139,0.03508568781843446,14.855504587155963,0.4651037035325383,3,1
경북,부동산업,772,17929,5264276720,465,813,0.37694300518134716,293617.9775782252,0.035640582296837524,23.224093264248705,0.46162440979082325,1,0
부산,부동산업,1441,23031,6657284600,1032,667,0.35808466342817485,289057.5572055056,0.03688506795189093,15.98265093684941,0.4549459773942666,0,0
전북,도소매업,2248,22087,6842165840,797,720,0.41370106761565834,309782.4892470684,0.034341467831756234,9.82517793594306,0.4519919160549444,1,0
충북,부동산업,761,16979,4540481140,516,547,0.33508541392904073,267417.4651039519,0.03130337475705283,22.31143232588699,0.43927601345024386,0,0
인천,협회수리개인,550,5958,1718070500,268,247,0.3145454545454546,288363.62873447465,0.04321920107418597,10.832727272727272,0.4343419040579202,1,0
충남,도소매업,2658,26153,8237431600,980,902,0.4051918735891648,314970.81023209577,0.0359805758421596,9.839352896914974,0.42454551093175735,0,0
전북,협회수리개인,358,3962,1095958180,158,135,0.31843575418994413,276617.4103987885,0.036976274608783444,11.067039106145252,0.42123127954093814,0,0
경북,도소매업,2691,27995,8874485000,1034,909,0.41285767372723897,317002.5004465083,0.03470262546883372,10.403195837978446,0.415260372146624,0,0
부산,협회수리개인,708,9692,2664861000,410,430,0.2768361581920904,274954.70491126704,0.04333470903838217,13.689265536723164,0.41273040554792745,0,0
강원,기타,2743,32183,8037937000,965,845,0.2996718920889537,249757.23207904794,0.02812043625516577,11.732774334670069,0.4092174691294157,0,0
인천,부동산업,1008,15532,4725122060,578,452,0.39285714285714285,304218.52047386044,0.03315735256245171,15.408730158730158,0.40663473896677554,0,0
전남,기타,3468,42427,10821193340,1235,1133,0.31055363321799306,255054.4073349518,0.027906757489334622,12.233852364475203,0.4001201797255818,0,0
광주,부동산업,467,9809,2734814700,276,273,0.3640256959314775,278806.6775410338,0.027984504026914058,21.004282655246254,0.3971901212478255,0,0
대전,도소매업,2108,20060,6147541340,635,652,0.3980075901328273,306457.69391824526,0.03207876370887338,9.516129032258064,0.3917885226807443,1,0
제주,제조업,425,4655,1365968240,190,182,0.32,293441.0827067669,0.03995703544575725,10.952941176470588,0.36920000273475734,0,0
부산,도소매업,5262,55306,17737121720,1884,1716,0.41239072595971116,320708.8149567859,0.0325461975192565,10.510452299505891,0.3606132440175971,2,1
대전,부동산업,698,11535,3271784280,334,264,0.37106017191977075,283639.72951885563,0.025921109666233202,16.525787965616047,0.3554027874168639,0,0
서울,부동산업,4994,129326,40383523040,4876,3542,0.39267120544653583,312261.44039095,0.03254565980545289,25.896275530636764,0.3514802703962483,5,1
강원,부동산업,892,20441,5927557780,428,525,0.38565022421524664,289983.7473704809,0.023310992612885866,22.91591928251121,0.31786871530135985,0,0
제주,도소매업,931,10767,3386137860,335,357,0.38238453276047263,314492.2318194483,0.03213522801151667,11.56498388829216,0.30393957916765313,2,1
대구,도소매업,2882,29918,8947297660,946,911,0.3521859819569743,299060.6878802059,0.031034828531318937,10.380985426786953,0.2893771429558229,0,0
충북,협회수리개인,310,3753,1189183900,191,142,0.31290322580645163,316862.21689315216,0.04436450839328537,12.106451612903227,0.2840527615018658,0,0
전북,기타,3278,45623,11573505620,1218,1136,0.2745576571079927,253676.99669026586,0.025798391162352323,13.917937766931056,0.2759626175643109,0,0
경남,협회수리개인,521,7244,2109071960,294,285,0.2802303262955854,291147.4268360022,0.03996410822749862,13.904030710172744,0.27122200526290474,4,0
충북,운수창고업,406,7858,2421780100,146,272,0.3866995073891626,308192.9371341308,0.026597098498345635,19.354679802955665,0.2658691275505483,1,0
울산,도소매업,942,8504,2751156800,286,269,0.37898089171974525,323513.26434619003,0.03263170272812794,9.0276008492569,0.2530186588561686,1,0
충북,도소매업,2221,24884,8185896920,817,825,0.38586222422332284,328962.2616942614,0.03299308792798585,11.203962179198559,0.24896338708081137,0,0
서울,건설업,10453,171152,72805716940,14131,6839,0.3891705730412322,425386.3053893615,0.06126133495372534,16.373481297235244,0.24796369950110134,65,25
울산,부동산업,409,5968,2019615420,205,208,0.39364303178484106,338407.4095174263,0.034601206434316356,14.591687041564793,0.24651670559500852,1,0
경기,도소매업,28734,316941,107769801100,9981,9761,0.4108373355606598,340031.1133617929,0.03114459789045911,11.030173313844227,0.2333013237154946,23,8
대구,부동산업,672,15427,4417235980,463,361,0.3273809523809524,286331.4954300901,0.02670642380242432,22.956845238095237,0.2284608438874335,0,0
광주,협회수리개인,343,4267,1200850980,133,174,0.26239067055393583,281427.4619170377,0.03597375205062105,12.440233236151604,0.21853690160051184,0,0
경기,전문과학기술,14324,236306,78761945200,8790,8431,0.36197989388438984,333304.88942303625,0.03643792370908906,16.497207483943033,0.21219653178786435,4,3
제주,협회수리개인,237,4729,1416623180,195,178,0.27848101265822783,299560.8331571157,0.039437513216324806,19.953586497890296,0.2088400750595151,0,0
부산,전문과학기술,3208,55431,17573485240,2117,2084,0.3213840399002494,317033.52347964136,0.037893958254406376,17.278990024937656,0.20733151880412773,2,2
경남,도소매업,3321,38495,13301860000,1178,1308,0.40499849442938873,345547.73347187944,0.0322899077802312,11.591388136103584,0.20664692444632746,1,0
