시도,시군구,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,신호_저임금,신호_이직률,신호_영세성,위험점수,위험백분위,체불_전체,체불_2025이후
강원,춘천시,협회수리개인,70,1596,469658640,270,105,0.2857142857142857,294272.33082706766,0.1174812030075188,22.8,0.434,2.948,-0.103,1.0932,95.0,0,0
세종,세종시,숙박음식점업,73,673,163758440,57,39,0.3835616438356164,243326.06240713224,0.0713224368499257,9.219178082191782,1.436,1.194,0.634,1.0882,94.9,0,0
충북,제천시,건설업,320,1856,511868120,152,98,0.4875,275791.0129310345,0.06734913793103449,5.8,0.776,1.044,1.417,1.0789,94.9,1,0
부산,동래구,숙박음식점업,61,621,149444140,69,38,0.29508196721311475,240650.7890499195,0.0861513687600644,10.180327868852459,1.494,1.758,-0.032,1.0733,94.8,0,0
전남,완도군,건설업,156,1000,273018300,100,51,0.4358974358974359,273018.3,0.0755,6.410256410256411,0.829,1.353,1.028,1.0703,94.8,0,0
충북,보은군,건설업,130,1145,422301640,219,34,0.46923076923076923,368822.39301310043,0.11048034934497816,8.807692307692308,-0.755,2.682,1.279,1.0686,94.7,0,0
충북,청주시,숙박음식점업,167,1661,419677440,135,165,0.30538922155688625,252665.5267910897,0.09030704394942805,9.946107784431138,1.238,1.916,0.046,1.0662,94.7,1,0
충남,천안시,운수창고업,161,4929,1490901100,456,524,0.38509316770186336,302475.37025765877,0.09941164536417123,30.614906832298136,0.289,2.261,0.646,1.0656,94.6,0,0
인천,동구,건설업,108,714,225340740,87,33,0.49074074074074076,315603.2773109244,0.08403361344537816,6.611111111111111,0.066,1.677,1.441,1.0614,94.6,0,0
부산,남구,건설업,262,3011,1164054460,601,181,0.40076335877862596,386600.61773497175,0.12985719030222517,11.492366412213741,-1.004,3.418,0.764,1.0594,94.5,1,0
충북,영동군,건설업,154,872,235361560,68,50,0.461038961038961,269910.04587155965,0.0676605504587156,5.662337662337662,0.89,1.055,1.218,1.0542,94.4,1,0
울산,남구,숙박음식점업,83,808,204107400,71,63,0.3373493975903614,252608.1683168317,0.08292079207920793,9.734939759036145,1.239,1.635,0.286,1.0533,94.4,0,0
대전,서구,숙박음식점업,95,902,224120140,70,68,0.35789473684210527,248470.22172949003,0.07649667405764966,9.494736842105263,1.326,1.391,0.441,1.0526,94.3,1,0
충남,부여군,건설업,176,1040,328467300,95,63,0.5284090909090909,315833.9423076923,0.07596153846153846,5.909090909090909,0.062,1.371,1.725,1.0525,94.3,0,0
경기,안산시,건설업,727,6198,2170891060,952,307,0.46629986244841815,350256.7053888351,0.10156502097450791,8.525447042640991,-0.483,2.343,1.257,1.0391,94.2,9,2
인천,강화군,건설업,169,1153,343530780,128,81,0.40828402366863903,297945.1691240243,0.09063313096270599,6.822485207100592,0.369,1.928,0.82,1.0391,94.2,1,1
서울,강북구,건설업,123,703,229605960,87,28,0.5121951219512195,326608.7624466572,0.08179231863442389,5.715447154471545,-0.115,1.592,1.603,1.0267,94.1,0,0
전북,익산시,건설업,405,2746,800026160,254,166,0.4567901234567901,291342.3743627094,0.0764748725418791,6.780246913580247,0.487,1.39,1.186,1.021,94.1,4,0
경기,광주시,부동산업,111,1300,399566080,63,144,0.4774774774774775,307358.5230769231,0.07961538461538462,11.711711711711711,0.205,1.509,1.342,1.0187,94.0,0,0
대구,동구,숙박음식점업,94,817,194570420,53,70,0.3191489361702128,238152.2888616891,0.07527539779681762,8.691489361702128,1.549,1.345,0.149,1.0143,94.0,0,0
부산,강서구,건설업,578,5100,1852682480,862,314,0.4117647058823529,363271.0745098039,0.11529411764705882,8.823529411764707,-0.676,2.865,0.847,1.0119,93.9,1,0
부산,해운대구,건설업,367,3163,1078609900,386,246,0.444141689373297,341008.50458425545,0.09990515333544103,8.618528610354224,-0.342,2.28,1.09,1.0094,93.9,4,2
경남,거제시,건설업,216,1684,521940620,161,112,0.4675925925925926,309940.98574821855,0.08105700712589074,7.796296296296297,0.161,1.564,1.267,0.9974,93.8,0,0
경기,화성시,운수창고업,257,7510,2241652120,732,710,0.3657587548638132,298488.9640479361,0.09600532623169108,29.22178988326848,0.359,2.132,0.5,0.9972,93.8,0,0
경북,경주시,건설업,445,2968,888707580,255,179,0.48314606741573035,299429.7776280323,0.07311320754716981,6.669662921348315,0.343,1.262,1.384,0.9965,93.7,1,1
서울,도봉구,건설업,149,1153,413006020,160,72,0.4697986577181208,358201.2315698179,0.10060711188204684,7.738255033557047,-0.602,2.307,1.284,0.9963,93.6,2,0
충북,충주시,건설업,433,2872,894344800,270,194,0.47113163972286376,311401.3927576602,0.0807799442896936,6.6327944572748265,0.136,1.554,1.294,0.9946,93.6,0,0
충남,아산시,숙박음식점업,69,784,187191340,89,63,0.2028985507246377,238764.4642857143,0.09693877551020408,11.36231884057971,1.536,2.168,-0.726,0.9923,93.5,1,0
강원,강릉시,건설업,485,3802,1248556060,519,205,0.4329896907216495,328394.54497632827,0.09521304576538664,7.8391752577319584,-0.144,2.102,1.006,0.9882,93.5,1,0
인천,연수구,건설업,638,8010,3231393040,1542,569,0.39184952978056425,403419.8551810237,0.13177278401997503,12.554858934169278,-1.228,3.491,0.697,0.9865,93.4,0,0
부산,북구,건설업,120,669,220169680,49,54,0.525,329102.6606875934,0.07698056801195814,5.575,-0.155,1.409,1.699,0.9846,93.4,0,0
