시도,시군구,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,신호_저임금,신호_이직률,신호_영세성,위험점수,위험백분위,체불_전체,체불_2025이후
전북,부안군,건설업,126,817,245417240,117,39,0.47619047619047616,300388.29865361075,0.09547123623011015,6.484126984126984,0.326,2.112,1.332,1.2565,96.8,0,0
경북,문경시,건설업,190,1063,279990860,92,54,0.5157894736842106,263396.8579492004,0.06867356538099718,5.594736842105263,1.018,1.094,1.63,1.2474,96.7,0,0
경북,영천시,건설업,268,1482,421871640,103,106,0.5597014925373134,284663.7246963563,0.07051282051282051,5.529850746268656,0.609,1.164,1.961,1.2446,96.7,1,0
경남,밀양시,건설업,240,1372,383892440,141,64,0.525,279804.9854227405,0.07470845481049562,5.716666666666667,0.7,1.323,1.699,1.2408,96.6,0,0
경남,양산시,건설업,336,2127,677145260,240,150,0.5238095238095238,318356.9628584861,0.09167842031029619,6.330357142857143,0.02,1.968,1.69,1.226,96.6,1,1
경남,사천시,건설업,218,1304,346852140,89,86,0.518348623853211,265990.90490797546,0.06710122699386503,5.981651376146789,0.967,1.034,1.649,1.2167,96.5,0,0
경북,청도군,건설업,113,590,160957800,66,14,0.5309734513274337,272809.83050847455,0.06779661016949153,5.221238938053097,0.833,1.061,1.744,1.2128,96.5,0,0
경기,파주시,건설업,732,6044,2080552700,1050,408,0.4248633879781421,344234.3977498345,0.12061548643282595,8.256830601092895,-0.392,3.067,0.945,1.2068,96.4,5,2
서울,동작구,건설업,236,2442,928712160,537,117,0.423728813559322,380308.0098280098,0.1339066339066339,10.347457627118644,-0.917,3.572,0.937,1.1972,96.4,3,0
충남,보령시,건설업,344,3131,1062547720,484,258,0.42151162790697677,339363.6921111466,0.1184924944107314,9.101744186046512,-0.317,2.986,0.92,1.1965,96.3,0,0
부산,사하구,건설업,186,1435,485604820,228,76,0.478494623655914,338400.5714285714,0.1059233449477352,7.71505376344086,-0.302,2.509,1.349,1.1854,96.3,0,0
전북,정읍시,건설업,278,1651,418954720,145,87,0.45323741007194246,253758.158691702,0.07026044821320412,5.938848920863309,1.215,1.154,1.159,1.176,96.2,0,0
대구,중구,숙박음식점업,102,964,255551020,115,89,0.30392156862745096,265094.4190871369,0.10580912863070539,9.450980392156863,0.985,2.504,0.034,1.1745,96.2,2,0
인천,부평구,숙박음식점업,78,744,170867820,76,54,0.2948717948717949,229661.0483870968,0.08736559139784947,9.538461538461538,1.741,1.804,-0.034,1.1703,96.1,0,0
경기,평택시,숙박음식점업,153,1512,386088320,143,142,0.3333333333333333,255349.417989418,0.09424603174603174,9.882352941176471,1.182,2.065,0.256,1.1677,96.0,0,0
전남,장성군,건설업,318,2246,722582360,330,160,0.41823899371069184,321719.66162065894,0.10908281389136243,7.062893081761007,-0.036,2.629,0.895,1.1629,96.0,0,0
경남,통영시,건설업,122,681,189484880,53,30,0.5573770491803278,278245.05139500735,0.06093979441997063,5.581967213114754,0.729,0.8,1.943,1.1576,95.9,0,0
경북,영주시,건설업,225,1474,417314960,167,74,0.4577777777777778,283117.3405698779,0.08175033921302578,6.551111111111111,0.638,1.591,1.193,1.1406,95.9,2,0
충북,옥천군,건설업,133,798,217600000,66,58,0.45112781954887216,272681.7042606516,0.07769423558897243,6.0,0.836,1.436,1.143,1.1385,95.8,0,0
제주,제주시,건설업,1168,7646,2320589980,780,411,0.5248287671232876,303503.790217107,0.07788386084227047,6.546232876712328,0.272,1.444,1.698,1.1378,95.8,6,0
대구,달성군,건설업,366,2221,687903700,297,117,0.46174863387978143,309727.014858172,0.09320126069338136,6.0683060109289615,0.165,2.026,1.223,1.1377,95.7,0,0
전북,남원시,건설업,266,1604,376485120,110,93,0.41729323308270677,234716.4089775561,0.06327930174563591,6.030075187969925,1.626,0.889,0.888,1.1343,95.7,1,0
강원,양구군,건설업,94,545,164211960,69,15,0.5212765957446809,301306.34862385324,0.07706422018348624,5.797872340425532,0.31,1.413,1.671,1.1313,95.6,0,0
