스냅샷,시도,시군구,업종대분류,가입자수,위험점수,위험백분위,이직률,인당보험료
2026-05,경기,고양시,도소매업,19933,0.2987,67.9,0.03486680379270556,314298.0986304119
2026-05,경기,고양시,보건사회복지,16663,-0.9242,9.6,0.03402748604693032,341189.752145472
2026-05,경기,고양시,부동산업,4338,0.4037,75.0,0.033079760258183495,302157.39050253574
2026-05,경기,고양시,수도하수폐기물,757,-0.8349,11.7,0.021136063408190225,425028.8507265522
2026-05,경기,고양시,숙박음식점업,2949,0.5667,82.0,0.06646320786707359,277659.57273652084
2026-05,경기,고양시,운수창고업,6300,2.1343,99.7,0.1388095238095238,241619.9968253968
2026-05,경기,고양시,전문과학기술,12326,0.3084,68.5,0.03460165503813078,307530.233652442
2026-05,경기,고양시,정보통신업,4265,0.2127,61.2,0.03341148886283705,329897.5521688159
2026-05,경기,고양시,제조업,14179,0.0661,50.8,0.030326539248183935,310488.07673319697
2026-05,경기,고양시,협회수리개인,6559,-0.2007,34.5,0.031026071047415765,374473.9838389998
2026-05,경기,과천시,건설업,4137,0.0884,52.3,0.08508581097413585,446334.71114334057
2026-05,경기,과천시,금융보험업,1140,0.1781,59.2,0.016228070175438595,324356.63157894736
2026-05,경기,과천시,기타,5023,-0.0191,45.6,0.043698984670515625,311526.4941270157
2026-05,경기,과천시,도소매업,2724,-0.3729,28.0,0.02551395007342144,383023.1057268722
2026-05,경기,과천시,부동산업,1268,0.1398,56.4,0.04850157728706624,306013.21766561514
2026-05,경기,과천시,숙박음식점업,843,0.3491,71.6,0.06287069988137604,312900.35587188613
2026-05,경기,과천시,전문과학기술,8792,-0.5554,21.2,0.022463603275705187,393163.9672429481
2026-05,경기,과천시,정보통신업,10873,-1.0245,7.4,0.0235905453876575,412585.35086912534
2026-05,경기,과천시,제조업,8275,-1.0217,7.5,0.0202416918429003,433606.8761329305
2026-05,경기,과천시,협회수리개인,5299,0.1344,55.8,0.014719758444989621,259205.0537837328
2026-05,경기,광명시,건설업,5760,0.3126,68.9,0.08359375,412336.1423611111
2026-05,경기,광명시,기타,4808,-0.0394,44.1,0.024750415973377703,263436.16472545755
2026-05,경기,광명시,도소매업,14535,-0.2007,34.5,0.018541451668386652,379358.54833161336
2026-05,경기,광명시,보건사회복지,3420,-0.8187,12.5,0.03508771929824561,324845.40935672517
2026-05,경기,광명시,부동산업,1410,0.2983,67.7,0.02801418439716312,254956.62411347518
2026-05,경기,광명시,숙박음식점업,696,0.6194,83.4,0.05603448275862069,258066.408045977
2026-05,경기,광명시,운수창고업,858,0.0538,50.0,0.035547785547785545,333301.6317016317
2026-05,경기,광명시,전문과학기술,4372,0.1201,54.9,0.037854528819762125,311317.6166514181
2026-05,경기,광명시,정보통신업,1160,-0.1576,36.8,0.020689655172413793,341516.8965517241
2026-05,경기,광명시,제조업,8435,-0.7394,15.4,0.016656787196206283,462392.01185536454
2026-05,경기,광명시,협회수리개인,505,0.1761,58.8,0.03762376237623762,278918.297029703
2026-05,경기,광주시,건설업,3795,0.6398,83.8,0.07206851119894599,336520.05797101447
2026-05,경기,광주시,금융보험업,626,-1.426,2.6,0.003993610223642172,482101.37380191695
2026-05,경기,광주시,기타,7488,-0.1873,35.2,0.025774572649572648,271550.6463675214
2026-05,경기,광주시,도소매업,11351,0.0574,50.2,0.02955686723636684,315307.590520659
2026-05,경기,광주시,보건사회복지,2861,-0.6884,17.1,0.04194337644180356,312915.26738902484
2026-05,경기,광주시,부동산업,1300,1.0187,94.0,0.07961538461538462,307358.5230769231
